dep,nom,cp,nb_hab_2010,nb_hab_1999,nb_hab_2012,dens,surf,long,lat,alt_min,alt_max
2,Tergnier,2700,14139,15096,14500,787,17.95,3.3,49.65,44,90
2,La Ferté-Milon,2460,2240,2108,2300,122,18.35,3.11667,49.1667,62,156
2,Bassoles-Aulers,2380,132,144,100,18,7.03,3.38333,49.5333,80,200
2,Le Verguier,2490,224,231,200,52,4.28,3.16667,49.9333,74,135
2,Ostel,2370,80,82,100,8,9.1,3.56667,49.4333,64,195
2,Sissy,2240,484,502,500,44,10.76,3.43333,49.8,62,127
2,Leury,2880,104,113,100,28,3.69,3.33333,49.4333,79,162
2,La Croix-sur-Ourcq,2210,124,91,100,11,10.45,3.35,49.1667,100,204
2,Pernant,2200,708,646,700,72,9.83,3.23333,49.3833,37,151
2,Étreux,2510,1509,1669,1600,145,10.36,3.65,49.9833,115,160
2,Bruys,2220,19,19,0,3,5.7,3.56667,49.2667,72,188
2,Fontenelle,2170,289,272,300,27,10.47,3.86667,50.0333,172,223
2,Cerseuil,2220,91,80,100,19,4.61,3.51667,49.3333,65,159
2,Voharies,2140,68,78,100,20,3.32,3.8,49.7833,87,156
2,Saint-Pierre-Aigle,2600,352,354,400,29,12.02,3.18333,49.3167,68,163
2,Saint-Martin-Rivière,2110,125,119,100,22,5.52,3.53333,50.05,108,163
2,Nanteuil-Notre-Dame,2210,67,76,100,18,3.72,3.4,49.2,87,129
2,Selens,2300,238,209,200,31,7.65,3.2,49.5,57,154
2,Monthenault,2860,120,106,100,40,2.94,3.66667,49.4833,101,198
2,Saint-Eugène,2330,238,203,200,35,6.75,3.53333,49.0167,70,231
2,Étouvelles,2000,223,199,200,93,2.38,3.58333,49.5333,59,67
2,Faverolles,2600,343,319,300,24,13.79,3.17639,49.2242,67,177
2,Lislet,2340,239,232,200,29,8.2,4.01667,49.6833,111,162
2,Vendeuil,2800,918,858,900,63,14.45,3.35,49.7167,49,112
2,Folembray,2670,1504,1492,1500,169,8.85,3.28333,49.55,49,152
2,Courbes,2800,34,31,0,10,3.16,3.45,49.6833,52,83
2,Chacrise,2200,312,339,300,24,12.74,3.4,49.3,65,173
2,Serches,2220,313,294,300,34,9.1,3.45,49.35,67,173
2,Acy,2200,959,952,900,82,11.67,3.41667,49.35,42,165
2,Verneuil-sous-Coucy,2380,130,134,100,28,4.58,3.31667,49.5333,64,167
2,Bazoches-sur-Vesles,2220,457,383,400,48,9.49,3.61861,49.3073,52,174
2,Mauregny-en-Haye,2820,434,420,400,41,10.46,3.8,49.5333,79,200
2,Hartennes-et-Taux,2210,333,358,300,52,6.31,3.35,49.2667,86,196
2,Vasseny,2220,212,153,200,66,3.18,3.48333,49.35,46,155
2,Merval,2160,88,69,100,26,3.36,3.7,49.35,69,180
2,Corcy,2600,310,306,300,42,7.25,3.21667,49.25,77,155
2,Bony,2420,135,124,100,16,7.98,3.21667,49.9833,87,146
2,Breny,2210,268,238,300,59,4.52,3.35,49.1833,82,155
2,Brécy,2210,352,318,300,35,9.98,3.43333,49.15,103,216
2,Bruyères-sur-Fère,2130,206,217,200,22,9.05,3.43333,49.1833,91,169
2,Flavy-le-Martel,2520,1636,1520,1600,127,12.83,3.2,49.7167,63,158
2,Pancy-Courtecon,2860,43,52,0,6,6.37,3.65,49.4667,70,181
2,Bosmont-sur-Serre,2250,206,186,200,21,9.68,3.86667,49.7333,87,172
2,Missy-aux-Bois,2200,108,102,100,35,3.04,3.25,49.3333,69,155
2,Surfontaine,2240,103,83,100,16,6.38,3.45,49.7333,74,121
2,Dagny-Lambercy,2140,132,159,100,13,10.04,4.03333,49.7667,137,211
2,Lanchy,2590,52,63,100,14,3.69,3.08333,49.8333,84,94
2,Vaudesson,2320,260,177,300,30,8.42,3.48333,49.4667,58,194
2,Cœuvres-et-Valsery,2600,462,432,500,36,12.52,3.15,49.3333,59,154
2,Épieds,2400,389,331,400,20,18.66,3.45,49.1,125,222
2,Villeneuve-Saint-Germain,2200,2438,2313,2400,537,4.54,3.35,49.3833,42,89
2,Alaincourt,2240,503,466,500,85,5.9,3.36667,49.75,57,109
2,Soucy,2600,88,73,100,16,5.22,3.13333,49.3167,65,152
2,Archon,2360,87,84,100,13,6.37,4.11667,49.7417,146,225
2,Pargny-Filain,2000,234,200,200,46,5.01,3.53333,49.4667,62,192
2,Germaine,2590,66,67,100,14,4.54,3.11667,49.7833,68,94
2,La Neuville-Housset,2250,63,50,100,12,4.99,3.71667,49.7833,113,157
2,Belleau,2400,135,135,100,20,6.72,3.3,49.1,87,198
2,Paars,2220,284,210,300,55,5.15,3.6,49.3333,54,169
2,Laniscourt,2000,175,185,200,58,3,3.55,49.55,68,181
2,Sermoise,2220,319,340,300,57,5.51,3.45,49.3667,42,163
2,Barenton-Bugny,2000,589,534,600,51,11.38,3.65,49.6333,64,96
2,Quierzy,2300,459,334,400,56,8.09,3.13333,49.5667,38,73
2,Cerizy,2240,58,48,100,14,4,3.33333,49.75,73,123
2,La Ferté-Chevresis,2270,589,567,600,24,23.92,3.56667,49.7333,56,131
2,Ramicourt,2110,171,178,200,44,3.82,3.33333,49.95,116,155
2,Bussiares,2810,122,101,100,16,7.4,3.25,49.0833,79,203
2,Bernot,2120,459,455,400,27,16.56,3.5,49.8667,72,144
2,Lerzy,2260,219,213,200,18,11.54,3.86667,49.9333,140,219
2,Samoussy,2840,338,376,400,13,25.04,3.73333,49.5833,71,100
2,Grougis,2110,385,348,400,34,11.26,3.53333,49.9333,120,178
2,Macquigny,2120,374,362,400,18,20.18,3.55,49.8833,77,153
2,La Flamengrie,2260,1102,1099,1000,41,26.43,3.91667,50,171,232
2,Servais,2700,282,240,300,51,5.51,3.35,49.6167,46,94
2,Bertricourt,2190,156,70,100,34,4.48,4,49.3833,57,76
2,Osly-Courtil,2290,297,271,300,56,5.23,3.21667,49.4,37,115
2,Verneuil-sur-Serre,2000,271,253,300,34,7.86,3.66667,49.65,62,91
2,Mayot,2800,171,176,200,49,3.42,3.38333,49.7,51,116
2,Wassigny,2630,973,1024,1000,143,6.79,3.6,50.0167,137,161
2,Barenton-Cel,2000,136,133,100,20,6.69,3.63333,49.65,63,106
2,Englancourt,2260,118,125,100,14,7.97,3.8,49.9167,111,207
2,Athies-sous-Laon,2840,2515,2128,2400,162,15.44,3.68333,49.5667,64,87
2,Froidestrées,2260,208,219,200,42,4.91,3.9,49.9333,147,221
2,La Malmaison,2190,411,363,400,16,25.61,3.98333,49.5167,78,133
2,Manicamp,2300,309,344,300,30,10.24,3.16667,49.5667,38,69
2,Barenton-sur-Serre,2270,115,109,100,14,8.05,3.68333,49.6667,61,122
2,Audigny,2120,265,209,300,24,10.73,3.65,49.85,112,158
2,Ohis,2500,307,317,300,47,6.48,4.01667,49.9333,138,228
2,Martigny,2500,452,462,500,26,16.96,4.13333,49.8667,157,228
2,Barisis,2700,723,669,700,47,15.11,3.32806,49.5787,53,186
2,Épaux-Bézu,2400,588,534,600,30,19.5,3.35,49.1,100,217
2,Abbécourt,2300,528,447,500,88,5.96,3.18333,49.6,38,64
2,Hauteville,2120,167,172,200,23,7.1,3.51667,49.8667,75,151
2,Benay,2440,213,187,200,31,6.81,3.31667,49.75,63,126
2,La Neuville-en-Beine,2300,178,152,200,46,3.81,3.15,49.6833,64,158
2,Tupigny,2120,364,350,400,28,12.84,3.6,49.95,95,178
2,Vervins,2140,2666,2653,2700,257,10.35,3.9,49.8333,120,208
2,Dorengt,2450,157,142,200,14,10.5,3.68333,49.9667,132,178
2,Saint-Gobert,2140,309,320,300,39,7.78,3.81667,49.8,97,177
2,Parcy-et-Tigny,2210,249,243,200,23,10.59,3.335,49.2787,105,200
2,Saint-Pierre-lès-Franqueville,2140,64,60,100,9,7,3.82361,49.8195,106,182
2,Mont-Notre-Dame,2220,677,630,600,67,9.96,3.58333,49.3,53,165
2,Mont-Saint-Martin,2220,85,40,100,14,5.81,3.63333,49.2833,73,208
2,Chierry,2400,1055,1034,1100,374,2.82,3.43333,49.0333,61,217
2,Cutry,2600,115,98,100,24,4.79,3.18333,49.35,58,158
2,Chevennes,2250,142,155,100,23,6.06,3.73333,49.8167,115,161
2,Montigny-le-Franc,2250,158,192,200,15,9.9,3.91667,49.6833,105,150
2,Bourg-et-Comin,2160,754,679,700,147,5.12,3.65,49.4,44,170
2,Saint-Agnan,2330,101,106,100,12,8.07,3.6,49.0167,87,242
2,Coulonges-Cohan,2130,428,369,400,14,28.75,3.63639,49.2012,105,238
2,Prémontré,2320,769,775,800,92,8.33,3.4,49.55,84,215
2,Courtrizy-et-Fussigny,2820,67,66,100,15,4.22,3.8,49.5167,107,205
2,Jumencourt,2380,154,119,200,24,6.2,3.35,49.5167,51,168
2,Clairfontaine,2260,569,497,600,39,14.31,3.98333,49.9833,152,239
2,Sequehart,2420,227,217,200,35,6.38,3.33333,49.9167,95,151
2,Agnicourt-et-Séchelles,2340,207,211,200,19,10.79,3.95,49.7167,96,175
2,Roucy,2160,404,329,400,58,6.96,3.81667,49.3667,55,206
2,Prémont,2110,757,714,700,61,12.21,3.38333,50,112,165
2,Clastres,2440,611,509,600,74,8.24,3.23333,49.7333,63,95
2,Le Charmel,2850,322,282,300,32,9.83,3.55,49.1167,73,225
2,Allemant,2320,180,117,200,35,5.13,3.45,49.4667,83,171
2,Mont-Saint-Père,2400,686,538,700,64,10.69,3.48333,49.0667,62,222
2,Parfondeval,2360,155,149,200,14,10.91,4.16667,49.7333,159,248
2,Chivres-Val,2880,585,574,600,105,5.54,3.43333,49.4,54,168
2,Aubencheul-aux-Bois,2420,310,272,300,146,2.11,3.26667,50.0333,105,139
2,Montfaucon,2540,181,165,200,11,15.36,3.45,48.95,127,219
2,Autels,2360,74,74,100,12,5.99,4.2257,49.7667,178,260
2,Fontenoy,2290,494,532,500,54,9.03,3.2,49.4167,36,142
2,Crécy-au-Mont,2380,289,289,300,24,11.83,3.31667,49.4833,48,160
2,Morcourt,2100,596,577,600,98,6.07,3.31667,49.8667,72,134
2,Neuville-sur-Margival,2880,117,91,100,32,3.65,3.4,49.45,73,161
2,Cys-la-Commune,2220,152,127,100,34,4.39,3.56667,49.4,44,177
2,Marizy-Saint-Mard,2470,59,55,100,12,4.54,3.21667,49.1833,72,155
2,Villeret,2420,314,311,300,79,3.95,3.18333,49.95,97,147
2,Amifontaine,2190,418,388,400,14,27.9,3.91667,49.4833,64,119
2,Fontaine-Uterte,2110,127,119,100,22,5.77,3.36667,49.9167,98,144
2,Dolignon,2360,59,46,100,17,3.38,4.08333,49.7167,126,213
2,Étaves-et-Bocquiaux,2110,556,601,500,40,13.68,3.45,49.9333,92,160
2,Rocquigny,2260,393,391,400,35,10.99,3.98333,50.0333,157,231
2,Mortiers,2270,207,213,200,32,6.39,3.66667,49.6833,61,119
2,Rozoy-sur-Serre,2360,1025,1079,1000,62,16.53,4.13333,49.7167,131,232
2,Malzy,2120,194,182,200,18,10.3,3.73333,49.9,103,176
2,Bellenglise,2420,386,410,400,60,6.4,3.25,49.9167,77,129
2,Cerny-en-Laonnois,2860,71,54,100,9,7.22,3.66667,49.45,74,194
2,Montloué,2340,157,191,200,10,15.58,4.06667,49.6667,115,196
2,Sainte-Geneviève,2340,77,63,100,16,4.53,4.07139,49.7195,126,211
2,Neuve-Maison,2500,616,618,600,73,8.42,4.03333,49.9333,143,200
2,Bézu-Saint-Germain,2400,959,478,700,86,11.13,3.4,49.1,129,217
2,Étréaupont,2580,895,934,900,50,17.59,3.91667,49.9,120,227
2,Berthenicourt,2240,214,199,200,69,3.07,3.38333,49.7667,58,108
2,Thiernu,2250,110,128,100,17,6.16,3.8,49.75,78,157
2,Laigny,2140,220,221,200,20,10.83,3.86667,49.85,140,204
2,Aisonville-et-Bernoville,2110,288,289,300,32,8.73,3.53333,49.9333,108,166
2,Crouy,2880,2716,2622,2700,261,10.38,3.36667,49.4,40,165
2,Hirson,2500,9383,10327,9400,277,33.77,4.08333,49.9167,157,268
2,Bagneux,2290,73,62,100,33,2.21,3.28333,49.4667,72,149
2,Autremencourt,2250,185,161,200,20,9.15,3.8,49.7,73,140
2,La Celle-sous-Montmirail,2540,114,81,100,20,5.67,3.46611,48.8648,107,184
2,Condé-sur-Aisne,2370,417,358,400,111,3.73,3.45,49.4,42,171
2,Blérancourt,2300,1262,1196,1300,116,10.8,3.15,49.5167,53,159
2,Monthurel,2330,150,122,200,38,3.86,3.55,49.0167,71,237
2,Petit-Verly,2630,188,177,200,36,5.19,3.55,49.9667,120,177
2,Soize,2340,98,106,100,16,5.91,4.08333,49.7,130,197
2,Saconin-et-Breuil,2200,221,234,200,25,8.53,3.25,49.3667,58,161
2,Largny-sur-Automne,2600,234,257,200,24,9.53,3.05,49.2667,67,218
2,Sommeron,2260,136,121,100,29,4.68,3.95,49.95,152,228
2,Veslud,2840,257,252,300,62,4.13,3.73333,49.5333,74,187
